DATE / RAOB	REPORT	MUMR	MUCAPE	500TEMP	7-5 LR	0-6SH	0-9SH	0-3SH	SHIP	MODELb	SRH
06050800.MAF	2.75	11.9	2440	-12.5	8.0	33.3	51.2	22.1	2.3	2.30	327
06062200.DDC	2.75	12.7	2406	-8.7	8.1	21.1	24.9	11.0	1.1	2.40	175
06081000.BIS	2.75	13.0	2589	-8.9	7.5	19.1	18.8	8.8	1.0	2.60	147
06082600.DDC	2.75	16.5	3488	-5.5	6.5	20.2	26.5	17.6	1.0	0.80	141
07021400.BMX	2.75	9.9	1032	-19.1	7.0	20.7	36.3	19.5	0.7	2.40	245
58042200.FWH	2.75	13.3	3338	-16.1	7.8	37.0	49.4	25.5	4.9	2.40	276
89060200.MAF	2.75	14.1	3193	-10.4	7.9	24.5	27.4	8.5	2.2	2.80	104
89060300.MAF	2.75	11.9	2291	-8.4	7.6	19.3	32.2	13.3	0.8	2.20	147
89060300.TOP	2.75	13.7	2623	-12.6	7.0	19.5	39.7	12.4	1.5	2.00	118
89061300.AMA	2.75	14.4	3611	-10.8	8.1	15.8	22.1	9.9	1.7	3.00	79
89062600.RAP	2.75	11.5	2246	-13.8	7.8	31.3	30.4	20.0	2.1	2.60	301
89081600.AMA	2.75	12.8	2669	-7.1	6.9	17.0	24.9	10.5	0.7	2.50	158
89082200.HON	2.75	15.6	4160	-9.4	6.9	22.9	28.9	14.8	2.3	3.30	107
89082200.OMA	2.75	17.9	4223	-8.3	7.0	22.2	45.4	15.0	2.3	0.90	138
89082200.STC	2.75	16.2	3346	-11.1	6.9	20.6	30.6	11.9	2.0	1.20	173
89082900.STC	2.75	14.6	1959	-10.0	6.8	26.3	44.7	18.0	1.2	1.10	147
89090400.LBF	2.75	17.3	4599	-8.6	8.3	29.6	38.8	8.6	4.0	3.30	223
90021600.JAN	2.75	15.2	2047	-10.9	6.6	20.9	34.6	18.9	1.1	-999.00	124
90031400.PIA	2.75	12.4	2115	-14.4	6.9	18.1	24.1	15.3	1.1	2.60	206
90041700.OUN	2.75	13.6	3717	-15.0	8.3	11.5	20.5	17.2	1.7	3.80	152
90042800.GGG	2.75	12.9	2263	-14.9	6.6	14.1	25.3	12.8	1.0	2.80	84
90050100.AHN	2.75	14.9	4557	-12.6	7.7	14.7	9.3	19.7	2.3	3.40	92
90051700.GGG	2.75	17.5	3234	-8.3	7.2	24.7	35.1	17.6	2.0	0.60	304
90051900.LBF	2.75	12.1	3954	-13.9	8.6	25.1	24.6	16.2	3.4	2.00	398
90052000.OUN	2.75	15.3	4565	-10.8	7.1	13.7	14.7	12.1	1.8	3.10	94
90053100.GGG	2.75	19.3	4743	-5.7	6.1	27.2	25.7	21.5	2.1	0.70	317
90060200.LBF	2.75	13.6	3719	-10.8	7.9	15.6	29.4	16.4	1.6	2.40	89
90060200.STC	2.75	13.4	2697	-13.3	8.5	18.6	17.2	10.4	1.8	2.20	132
90061900.LBF	2.75	19.2	7070	-6.1	8.4	30.2	38.1	18.5	5.0	3.60	266
90070300.BIS	2.75	21.3	6982	-6.3	8.2	23.0	29.6	14.9	4.2	4.60	172
90070700.BIS	2.75	14.9	3274	-7.5	6.9	19.0	25.7	12.9	1.1	2.20	316
90081100.LBF	2.75	14.8	3971	-9.0	7.5	25.6	21.5	14.3	2.4	2.90	282
90082800.SSM	2.75	18.2	5115	-8.5	6.2	31.6	29.9	20.5	3.7	1.10	334
90090600.STC	2.75	19.5	4899	-6.8	6.2	21.0	17.1	14.7	2.0	1.00	294
91032200.UMN	2.75	11.5	2632	-15.3	7.0	33.0	35.3	18.8	2.5	2.50	371
91032700.DDC	2.75	12.4	3132	-14.2	8.2	40.7	44.0	18.9	4.4	2.10	160
91040300.OUN	2.75	10.1	1560	-19.8	7.3	22.6	41.7	15.1	1.2	1.50	275
91041300.OUN	2.75	14.1	4063	-13.7	8.0	22.0	25.1	17.1	3.3	2.90	205
91042700.GGG	2.75	18.9	5164	-10.7	8.2	18.9	27.6	12.4	3.8	2.70	209
91042700.OUN	2.75	16.6	4751	-11.5	7.0	23.6	26.4	20.6	3.6	3.70	376
91042800.GGG	2.75	18.9	4554	-10.5	7.2	29.5	19.6	15.4	4.6	2.20	140
91051100.AMA	2.75	15.6	5629	-10.7	9.0	16.5	21.5	14.5	3.3	2.50	314
91051200.RAP	2.75	14.1	4430	-11.0	7.9	23.5	33.5	26.6	3.0	2.50	437
91051700.UMN	2.75	15.9	3299	-10.6	7.6	16.1	11.8	14.4	1.6	1.90	174
91051800.UMN	2.75	15.1	3444	-11.0	7.4	11.9	21.0	9.4	1.2	1.20	59
91052500.AMA	2.75	13.7	3416	-10.5	7.0	17.4	13.8	17.0	1.4	2.50	124
91053000.OVN	2.75	16.8	4446	-10.2	6.8	18.2	19.0	14.3	2.2	2.70	31
91053000.RAP	2.75	10.9	2814	-15.7	8.1	14.5	28.4	13.0	1.3	2.00	159
91060500.OVN	2.75	14.6	2813	-10.1	6.5	17.1	19.6	8.4	1.1	3.10	177
91061500.BIS	2.75	13.0	2379	-11.9	6.6	22.5	25.2	13.2	1.3	2.60	152
91061500.GRB	2.75	17.6	3430	-8.7	6.7	13.9	17.0	21.7	1.2	0.60	161
91061900.LBF	2.75	13.0	3600	-12.0	8.6	15.2	20.9	13.5	1.7	2.60	219
91062000.HON	2.75	13.9	2691	-10.5	7.0	22.1	20.0	16.1	1.4	1.20	282
91070500.BIS	2.75	13.3	2941	-9.3	6.4	21.4	26.6	19.3	1.2	2.40	206
91070500.GGW	2.75	11.4	2308	-9.9	7.0	17.5	23.9	6.7	0.8	2.20	144
91072200.HON	2.75	19.3	4474	-6.8	7.2	17.3	24.1	11.1	1.7	-999.00	198
92021500.UMN	2.75	10.2	1724	-16.9	6.4	33.2	28.2	24.2	1.5	2.20	289
92030600.1M1	2.75	11.5	2572	-21.1	7.2	22.5	26.7	17.3	2.4	2.30	194
92060500.AMA	2.75	13.4	2870	-9.4	7.5	17.5	25.9	12.2	1.1	2.60	249
92061200.MAF	2.75	13.8	2387	-8.2	7.4	26.7	34.6	13.3	1.3	2.00	178
92061300.AMA	2.75	14.7	2821	-8.8	7.2	19.1	36.4	12.0	1.2	2.70	165
92061900.BIS	2.75	11.0	1791	-14.4	6.9	27.4	24.4	13.0	1.3	2.50	106
92061900.DDC	2.75	12.8	2598	-8.3	7.9	25.1	40.5	15.7	1.3	2.70	114
92062700.AMA	2.75	14.1	3165	-10.0	7.7	16.6	29.9	12.4	1.4	2.90	191
92073000.LBF	2.75	15.0	3544	-10.3	7.9	25.7	33.8	22.0	2.6	3.00	335
92101600.SEP	2.75	14.6	3654	-12.1	7.7	16.4	22.7	12.6	1.9	2.90	227
93033100.1M1	2.75	11.9	2471	-15.1	7.2	30.2	27.1	17.8	2.3	2.80	54
93033100.UMN	2.75	11.1	2598	-16.5	6.4	29.7	28.9	19.7	2.2	2.10	117
93040200.WAL	2.75	10.9	1625	-18.5	7.3	30.7	48.4	26.8	1.7	2.40	200
93042000.GGG	2.75	12.4	2342	-13.3	8.0	26.7	28.4	17.5	2.0	2.70	156
93042500.UMN	2.75	11.4	2317	-14.6	6.9	25.2	33.1	18.2	1.6	2.40	198
93042800.MAF	2.75	10.4	1494	-10.6	6.9	19.6	25.8	12.9	0.5	1.80	150
93042900.MAF	2.75	11.7	2435	-10.9	7.1	29.3	37.4	20.8	1.5	2.20	551
93050100.AMA	2.75	11.6	4085	-14.5	8.1	25.7	15.8	15.3	3.4	1.90	234
93050600.AMA	2.75	13.2	4478	-13.6	8.6	34.6	38.4	16.6	5.7	2.00	340
93051600.DDC	2.75	12.8	3614	-9.8	6.6	19.4	23.7	12.6	1.4	2.50	161
93061900.AMA	2.75	12.8	2140	-7.8	7.0	22.7	23.3	14.4	0.8	1.90	146
93062400.DEN	2.75	11.7	3442	-9.6	8.8	32.0	42.3	15.8	2.6	1.80	211
93062400.LBF	2.75	16.0	3944	-8.6	8.1	21.9	33.8	18.1	2.3	2.80	178
93070500.DDC	2.75	17.1	4186	-5.4	6.7	30.6	34.9	16.6	1.9	1.20	146
93070700.AMA	2.75	17.0	5327	-4.7	7.8	21.3	20.0	11.4	1.7	3.80	127
93070700.DDC	2.75	17.0	5334	-6.0	7.2	27.9	28.2	16.5	2.6	3.10	154
93090400.IAD	2.75	15.6	2779	-5.9	5.7	15.2	15.6	12.4	0.5	0.60	149
93101300.CRP	2.75	17.3	4367	-8.6	6.3	20.2	29.8	14.8	2.0	1.50	227
93101900.GGG	2.75	15.7	3105	-9.8	6.9	23.5	33.9	10.3	1.9	0.70	105
93102000.DRT	2.75	15.5	3433	-8.9	6.4	25.4	34.0	13.4	1.8	1.60	35
94012700.GGG	2.75	13.2	2167	-15.9	6.8	31.0	32.3	17.5	2.3	0.70	306
94041100.UMN	2.75	12.6	2040	-16.5	7.6	37.8	45.4	19.9	2.9	2.50	486
94052500.OUN	2.75	15.0	3912	-11.5	7.4	22.0	36.2	13.2	2.6	3.00	122
94053000.SEP	2.75	17.5	5032	-10.6	8.2	27.0	23.8	16.1	4.9	3.90	291
94060500.HON	2.75	14.2	3871	-11.6	8.5	21.4	19.2	12.0	2.8	2.40	202
94060600.TOP	2.75	16.5	3953	-9.3	8.1	16.1	27.7	15.4	1.9	2.50	394
94061100.AMA	2.75	12.3	2164	-8.3	7.3	19.5	20.3	16.6	0.7	2.80	229
94061200.AMA	2.75	14.7	4015	-8.0	7.8	26.7	19.9	18.4	2.3	2.70	302
94061200.TOP	2.75	13.9	2320	-9.5	6.6	23.9	24.4	15.8	1.2	0.90	117
94061800.AMA	2.75	11.9	2676	-7.0	8.2	11.0	11.3	10.7	0.5	1.60	171
94061900.JAN	2.75	16.8	3177	-7.5	5.9	11.5	12.4	3.8	0.6	0.60	42
94062500.HON	2.75	11.8	1962	-10.8	6.4	27.8	33.5	15.4	1.1	2.20	211
94062600.JAN	2.75	16.1	2842	-9.5	6.4	24.0	32.8	12.4	1.6	0.90	130
94070100.STC	2.75	14.3	3701	-11.6	7.3	27.2	25.1	19.0	2.9	2.70	399
94070200.OAX	2.75	18.5	5257	-10.1	8.0	26.5	25.4	15.5	4.9	3.20	416
94070700.HON	2.75	16.5	3051	-8.8	7.2	20.5	18.6	10.2	1.5	0.60	159
95040900.TOP	2.75	10.7	2836	-17.5	9.2	21.4	31.9	16.5	2.5	1.90	120
95042000.FTD	2.75	14.6	2621	-13.3	7.7	39.5	59.2	25.8	3.7	2.40	498
95051400.UMN	2.75	16.5	5278	-10.3	6.9	28.0	26.2	22.3	4.1	3.20	211
95052200.LBF	2.75	10.4	2027	-14.9	7.4	28.3	33.3	18.7	1.6	2.10	221
95060300.AMA	2.75	12.4	3024	-9.6	8.2	22.4	37.2	15.7	1.6	2.00	346
95062100.OKX	2.75	17.1	3918	-9.8	7.1	18.4	25.8	11.4	2.1	1.00	18
95062800.LBF	2.75	12.4	2880	-10.1	7.7	22.0	19.7	13.9	1.5	2.50	208
95070300.AMA	2.75	14.7	3838	-11.5	8.8	22.8	29.0	8.2	3.1	2.50	115
95070300.DDC	2.75	14.2	2905	-9.6	6.8	18.2	21.4	12.3	1.2	2.30	111
95071200.OKX	2.75	13.9	2900	-15.6	6.9	12.7	13.6	8.1	1.3	2.40	48
95071500.GRB	2.75	19.0	5409	-8.5	8.1	12.1	9.0	8.0	2.0	3.00	69
95072400.AMA	2.75	13.3	2225	-7.8	8.5	21.6	25.1	13.1	1.0	2.90	124
95081800.BIS	2.75	18.4	5585	-7.0	7.7	10.6	17.3	10.6	1.4	3.30	142
96031600.FFC	2.75	9.6	890	-19.2	7.8	28.8	55.2	20.5	0.9	2.20	353
96042200.OUN	2.75	12.7	2260	-10.9	5.9	38.3	48.8	18.5	1.7	2.30	500
96042200.TOP	2.75	10.9	1574	-16.6	7.3	45.6	54.3	14.6	2.2	2.30	145
96051700.UNR	2.75	14.8	4365	-8.1	8.0	25.5	28.7	15.0	2.5	2.50	219
96051800.OAX	2.75	15.3	4523	-11.1	8.8	16.0	21.2	12.9	2.6	-999.00	68
96052500.AMA	2.75	13.5	3927	-11.3	9.1	20.3	4.9	16.4	2.6	1.90	101
96052600.MAF	2.75	14.1	3464	-6.2	7.7	28.7	42.1	22.5	1.6	2.90	240
96053000.MAF	2.75	14.9	3675	-7.0	7.7	35.1	40.6	19.0	2.4	2.50	321
96060100.ABR	2.75	12.6	2276	-13.4	6.2	22.4	27.2	24.6	1.3	2.20	370
96060200.JAN	2.75	16.1	1863	-7.5	5.5	12.7	20.3	11.3	0.4	0.60	168
96060300.SGF	2.75	11.7	2739	-15.9	7.1	26.4	35.9	14.8	2.3	2.10	90
96061200.AMA	2.75	11.9	3079	-8.8	8.0	24.3	30.2	18.3	1.5	1.90	373
96061300.FFC	2.75	13.7	2727	-9.1	5.7	12.9	13.1	12.9	0.6	1.00	152
96061400.LBF	2.75	12.4	2384	-8.6	6.5	15.4	25.0	12.0	0.6	2.20	102
96062500.AMA	2.75	13.9	3778	-9.4	8.5	22.9	28.2	7.0	2.3	1.90	123
96072400.DDC	2.75	14.3	3068	-11.1	8.6	27.6	36.6	16.8	2.8	2.70	203
96080100.DEN	2.75	13.5	3920	-7.8	8.5	22.6	26.3	15.0	1.9	2.10	276
96083000.DEN	2.75	11.7	2478	-9.1	7.8	26.2	28.9	17.6	1.3	2.30	86
96092100.FTD	2.75	16.4	2870	-9.4	6.5	26.4	32.6	15.7	1.8	-999.00	136
97012500.SIL	2.75	13.0	2563	-16.5	7.5	18.3	25.8	18.3	1.8	2.80	145
97032900.BNA	2.75	11.1	1618	-15.6	7.4	25.2	15.3	18.1	1.3	3.00	389
97041100.MAF	2.75	11.9	4076	-15.0	8.2	23.7	30.7	20.8	3.3	2.10	260
97042100.SGF	2.75	9.4	1773	-16.5	7.4	25.4	23.9	23.3	1.2	2.00	405
97052700.OUN	2.75	18.0	5907	-8.7	6.4	17.5	23.9	17.6	2.5	3.70	271
97052700.SGF	2.75	16.3	4440	-9.9	7.0	22.6	25.0	16.3	2.7	2.60	276
97061200.TOP	2.75	12.6	1552	-11.7	7.1	23.5	30.2	11.6	0.9	0.90	141
97061600.DDC	2.75	13.5	3187	-10.9	7.7	23.3	39.3	11.9	2.0	2.70	26
98040900.BMX	2.75	15.8	3341	-13.9	7.9	40.1	51.5	25.9	5.5	2.00	296
98052500.DDC	2.75	12.5	2688	-12.1	7.2	27.9	32.0	13.7	1.9	2.70	180
98061400.OUN	2.75	20.5	6689	-6.5	7.7	32.8	42.7	17.9	5.4	4.00	262
99060300.AMA	2.75	15.6	5087	-10.3	8.7	18.6	49.2	15.5	3.1	2.50	289
99061200.AMA	2.75	14.7	4400	-10.3	7.7	26.2	36.6	18.8	3.2	2.40	210
99061900.DDC	2.75	13.9	4141	-11.3	7.3	22.5	29.0	13.4	2.5	2.40	346
99070100.MAF	2.75	13.7	3989	-2.5	7.5	14.9	13.7	10.5	0.4	2.00	146
99081800.LBF	2.75	18.3	5554	-8.9	7.8	23.7	25.1	10.7	3.9	3.40	143
00021400.LZK	2.50	10.7	2091	-20.3	6.4	21.1	24.5	22.2	1.5	2.10	245
00032700.SGF	2.50	9.8	1766	-18.3	7.5	34.3	43.9	21.4	1.9	2.20	350
00050100.FWD	2.50	14.3	3593	-13.1	7.2	17.3	18.5	19.0	2.0	1.70	401
00051200.DVN	2.50	15.6	4865	-8.1	7.4	24.8	24.9	19.3	2.7	3.40	225
00052300.MHX	2.50	15.1	3613	-13.5	6.5	15.3	26.5	10.5	1.7	2.40	79
00061000.RAP	2.50	13.2	3610	-8.1	7.8	14.3	21.1	11.9	1.0	2.10	70
00062400.OAX	2.50	17.5	4783	-8.7	7.2	18.7	28.2	14.9	2.3	2.30	195
00070200.ABR	2.50	17.8	5952	-10.3	8.4	12.2	23.4	8.1	2.7	3.90	147
00070600.LBF	2.50	18.2	5506	-7.1	8.3	25.3	35.5	11.8	3.5	3.50	155
00080500.BIS	2.50	17.0	4830	-8.7	6.9	17.2	22.9	4.0	2.0	3.30	86
00091100.MPX	2.50	16.6	4554	-10.3	7.0	22.0	24.0	18.4	2.9	3.20	271
01041700.MAF	2.50	13.9	4552	-12.1	7.5	16.2	30.6	8.0	2.2	2.20	100
01042200.DDC	2.50	13.3	3749	-12.1	7.3	33.4	45.3	24.2	3.5	2.70	510
01050100.OAX	2.50	10.4	2265	-16.9	7.7	17.4	17.0	19.2	1.3	2.20	226
01050400.MAF	2.50	13.7	3866	-11.3	7.2	12.8	33.8	11.4	1.3	2.70	101
01052500.BMX	2.50	11.9	2388	-14.9	6.7	29.2	27.4	23.5	2.0	2.70	436
01052620.LMN	2.50	14.1	4355	-13.5	6.4	27.3	33.2	20.2	3.5	2.90	233
01070400.RAP	2.50	13.2	3145	-11.1	8.3	25.2	26.1	12.9	2.3	2.60	144
01070500.LBF	2.50	14.5	3571	-7.7	7.7	26.0	27.0	17.1	1.9	2.90	313
01082400.AMA	2.50	15.4	4318	-6.7	7.4	24.0	28.1	21.0	1.9	2.80	158
01101000.DDC	2.50	12.9	3299	-9.7	6.4	18.8	18.3	16.4	1.2	2.50	275
02040300.JAX	2.50	14.8	3327	-14.3	7.2	11.5	30.9	11.8	1.4	1.50	80
02041212.AMA	2.50	12.2	2907	-13.7	7.5	20.4	25.1	14.6	1.8	2.80	184
02041900.DVN	2.50	12.3	2861	-14.5	8.2	14.1	20.0	15.9	1.4	2.50	213
02051700.AMA	2.50	13.8	5036	-12.7	8.7	21.9	26.5	17.4	4.0	2.20	216
02072500.ABR	2.50	15.0	3995	-11.5	7.9	28.3	28.6	13.8	3.7	3.00	207
03051500.SHV	2.50	16.8	4260	-9.9	6.8	33.7	42.9	16.3	3.9	0.80	246
03062200.RAP	2.50	10.6	3380	-13.7	8.0	27.5	42.2	18.7	2.6	1.50	189
04032718.OUN	2.50	12.6	2825	-14.9	7.3	21.1	32.3	11.5	2.0	2.10	199
04040400.EPZ	2.50	12.1	4482	-17.9	8.2	29.1	25.4	11.6	5.5	2.10	203
04080700.ABR	2.50	13.1	2792	-9.3	6.7	21.0	25.9	12.1	1.1	2.50	240
04091500.LBF	2.50	12.8	1474	-10.7	8.0	35.4	39.8	20.5	1.4	-999.00	306
04102400.JAN	2.50	15.8	1938	-6.9	5.3	30.8	27.8	19.3	0.8	0.60	328
05050322.XMR	2.50	13.4	2165	-13.9	7.6	23.3	41.5	21.5	1.7	1.20	82
05050700.MAF	2.50	10.7	3257	-12.3	8.0	20.3	24.6	11.2	1.7	1.60	48
06050900.JAN	2.50	16.1	3303	-13.3	7.3	28.4	39.9	14.9	3.5	1.90	170
06052600.SGF	2.50	13.9	3409	-9.5	6.5	18.9	23.2	18.8	1.3	2.50	262
06061400.RAP	2.50	11.5	2691	-7.7	8.3	17.3	24.5	15.3	0.8	1.60	248
06062500.DNR	2.50	7.1	987	-11.5	8.9	26.1	26.5	12.5	0.4	0.90	-172
06071123.LMN	2.50	16.5	2996	-5.9	6.7	12.6	11.2	9.4	0.6	0.60	110
08110600.OUN	2.50	11.4	1623	-12.5	6.9	29.8	32.7	24.8	1.1	2.40	317
90060300.PAH	2.50	17.8	3663	-7.6	7.0	24.0	25.9	29.8	2.0	0.60	367
90060700.DEN	2.50	10.9	2393	-8.2	9.0	26.3	23.9	19.6	1.2	1.60	170
90061500.DDC	2.50	16.0	4667	-6.5	7.9	28.4	30.1	15.7	2.6	2.70	306
90062200.ALB	2.50	12.6	1833	-14.1	6.7	32.5	29.1	20.6	1.7	1.60	203
90070200.GSO	2.50	14.8	3963	-10.0	7.2	26.0	16.3	10.7	2.6	2.20	100
90083100.CHS	2.50	16.0	2477	-8.5	6.5	17.0	17.7	8.3	0.9	0.60	67
91041900.SEP	2.50	17.6	5996	-13.2	7.4	13.5	44.8	13.0	3.3	3.10	24
91042100.AYS	2.50	11.8	2563	-16.9	7.4	13.4	30.0	10.3	1.2	1.70	76
91050800.MAF	2.50	11.2	3415	-14.8	8.4	31.1	36.7	25.4	3.5	1.60	280
91051200.AMA	2.50	14.3	4539	-10.8	8.5	12.4	14.9	16.7	1.7	2.30	208
91052700.LBF	2.50	11.9	2669	-13.4	7.9	13.9	32.3	13.0	1.1	2.10	35
91053100.DEN	2.50	12.0	3551	-12.1	9.5	27.3	45.8	10.7	3.2	1.90	149
91071800.STC	2.50	18.2	4956	-8.7	7.3	18.7	20.1	21.9	2.5	2.50	104
91080200.CAR	2.50	12.3	1891	-13.7	6.3	19.6	33.3	11.9	0.9	1.50	223
92030400.SEP	2.50	12.7	2676	-15.3	7.7	20.1	27.2	9.2	1.9	2.30	133
92041600.AMA	2.50	11.1	3362	-13.4	7.6	16.0	17.8	12.0	1.5	1.70	127
92070200.DEN	2.50	11.7	2313	-11.2	8.0	27.6	29.9	20.0	1.6	2.50	362
93033000.DRT	2.50	12.7	2680	-13.4	8.2	39.6	44.0	26.0	3.5	2.80	411
93061400.TOP	2.50	16.5	4195	-8.5	7.7	12.5	17.8	10.7	1.3	2.80	65
93070200.HON	2.50	14.6	2619	-11.3	7.0	28.3	40.3	12.6	2.0	0.80	143
93070300.TOP	2.50	18.5	4019	-7.2	7.1	15.8	16.4	15.2	1.4	0.70	202
94032800.AHN	2.50	14.4	2627	-10.5	6.2	34.5	24.7	30.4	2.0	0.70	518
94062600.TOP	2.50	16.4	4265	-8.6	8.4	25.2	45.9	21.6	3.0	2.90	418
95050800.FTD	2.50	16.5	2700	-10.4	7.7	30.8	30.8	24.5	2.6	0.80	407
95050800.LCH	2.50	17.9	3259	-9.9	7.1	16.7	31.1	10.2	1.6	0.60	119
95050900.TOP	2.50	10.0	1495	-19.3	6.9	19.3	22.8	21.2	0.9	1.20	126
95051600.MAF	2.50	13.6	3261	-7.8	8.4	21.7	28.8	10.3	1.5	1.80	134
95051900.GSO	2.50	13.4	1758	-11.8	7.9	25.3	27.1	23.6	1.3	-999.00	83
95052912.MAF	2.50	13.0	1617	-11.3	7.5	27.6	22.0	13.7	1.2	1.90	284
95060700.DEN	2.50	12.3	3137	-10.8	9.2	37.2	35.9	20.7	3.4	2.00	284
95061600.TFX	2.50	13.0	3142	-12.0	8.4	27.7	35.6	23.8	2.7	2.30	277
95081212.MPX	2.50	19.1	3361	-6.3	7.2	20.6	36.8	23.0	1.4	-999.00	164
96030700.TLH	2.50	15.4	2615	-10.4	6.0	20.9	23.7	20.7	1.2	0.60	320
96042200.FTD	2.50	12.0	1872	-12.6	8.2	27.1	34.0	18.3	1.5	-999.00	298
96051800.MPX	2.50	16.3	4406	-8.9	8.2	13.0	23.4	20.7	1.6	3.40	259
96060100.DDC	2.50	13.3	2888	-10.9	8.3	13.3	19.3	13.9	1.1	2.50	111
96060300.AMA	2.50	11.0	2356	-10.5	6.9	27.6	31.6	18.0	1.2	2.00	256
96061200.LBF	2.50	11.7	2310	-9.9	7.5	16.7	22.2	12.7	0.8	2.40	122
96062100.DEN	2.50	15.2	5603	-8.1	9.6	27.5	33.4	8.8	4.4	2.20	155
96071900.GRB	2.50	20.7	4746	-7.5	6.4	26.3	26.2	20.0	3.0	0.70	164
96072200.LBF	2.50	18.4	4756	-6.5	7.2	20.0	29.4	19.0	1.9	2.10	94
98071100.DDC	2.50	18.9	4323	-4.3	6.2	12.7	15.2	16.0	0.7	0.60	230
00061300.OAX	2.25	17.7	5453	-11.5	8.5	15.8	19.3	12.9	3.5	4.00	206
00030300.FWD	2.00	12.3	2589	-14.3	6.2	33.4	29.1	20.2	2.2	2.70	239
00031600.LMN	2.00	9.5	1478	-17.3	7.1	22.1	10.9	12.9	0.9	2.20	164
00032800.JAX	2.00	12.5	2135	-14.5	6.3	29.1	24.7	25.7	1.7	0.90	268
00061200.AMA	2.00	16.8	5720	-10.3	8.3	16.1	28.7	15.7	3.2	2.70	88
00061300.LBF	2.00	13.9	4790	-9.9	8.3	16.6	18.6	9.9	2.1	2.00	159
00061500.JAX	2.00	17.9	4801	-8.7	6.4	6.2	13.3	3.6	0.7	1.10	55
00071100.GGW	2.00	14.2	3230	-11.3	6.9	30.1	48.1	16.9	2.6	3.00	88
00071500.BIS	2.00	16.5	5132	-9.5	8.1	27.6	34.1	14.6	4.3	2.70	152
00072300.LBF	2.00	13.2	2926	-11.5	7.1	25.2	27.3	13.6	1.9	2.80	91
01042200.AMA	2.00	14.1	6059	-15.3	9.2	35.7	38.3	16.6	10.2	3.30	320
01042200.MAF	2.00	13.7	4543	-12.3	8.4	27.4	36.2	12.3	4.2	2.20	164
01050600.FWD	2.00	15.4	3092	-12.7	6.8	32.7	34.4	19.4	3.2	2.10	170
01050700.SGF	2.00	14.5	4025	-13.7	6.1	8.8	17.0	10.5	1.0	3.10	202
01050702.LZK	2.00	14.2	2759	-12.9	5.9	18.7	26.3	7.3	1.3	2.00	77
01051200.OUN	2.00	13.2	3098	-13.9	7.1	10.0	10.8	8.7	1.0	2.10	132
01052700.DDC	2.00	11.3	2853	-12.1	6.7	30.6	37.1	19.3	1.9	1.80	184
01052800.OUN	2.00	16.5	4910	-10.7	7.6	29.7	38.8	16.9	4.7	3.10	113
01053000.DDC	2.00	15.2	2892	-12.1	8.0	19.5	26.6	14.8	2.0	1.80	388
01053100.FWD	2.00	15.8	4571	-12.3	8.7	12.4	20.6	13.7	2.3	3.90	106
01053100.LCH	2.00	17.4	3988	-8.3	7.0	8.3	13.9	0.8	0.8	2.40	8
01062100.DNR	2.00	10.8	2544	-11.5	7.5	21.4	23.2	20.5	1.2	2.10	192
01063000.FWD	2.00	16.8	4122	-9.7	6.9	11.2	19.2	9.2	1.2	1.60	133
01071300.GGW	2.00	14.5	3042	-10.1	8.1	16.5	34.2	7.9	1.4	3.50	19
01072000.RAP	2.00	15.1	4486	-8.7	8.4	15.4	26.3	10.9	1.8	2.40	71
01082300.TOP	2.00	16.7	4361	-9.7	7.6	9.9	23.0	13.6	1.3	2.30	192
01082400.DDC	2.00	16.4	4283	-7.5	7.7	14.7	16.3	11.9	1.4	3.10	77
01090800.OUN	2.00	17.6	4351	-8.7	7.8	26.1	21.2	21.8	3.3	2.30	151
01090800.TOP	2.00	17.8	4174	-11.3	8.1	26.2	26.7	24.5	4.2	1.70	274
01101000.OUN	2.00	15.6	3485	-12.9	7.9	24.4	28.2	23.9	3.2	2.50	447
02041800.OAX	2.00	11.4	2113	-14.5	7.6	33.9	35.5	24.0	2.1	2.20	376
02052800.LZK	2.00	15.1	3284	-12.3	6.5	4.4	12.3	2.6	0.4	0.60	13
02061300.DVN	2.00	17.3	3501	-11.9	7.4	26.3	38.7	10.0	3.3	1.10	100
02062600.MPX	2.00	19.6	6228	-9.7	7.1	18.6	21.8	9.2	3.7	3.20	120
03051900.TBW	2.00	17.1	3797	-10.9	6.8	5.9	5.0	4.0	0.7	1.00	-4
04043000.JAN	2.00	13.6	1469	-12.7	6.5	27.4	22.8	18.1	1.1	0.60	184
04052200.DDC	2.00	13.5	3809	-9.7	8.1	21.0	27.0	20.3	2.0	2.20	297
04062400.GRB	2.00	10.4	1604	-16.9	6.3	25.3	36.9	16.4	1.1	2.40	128
04072300.TOP	2.00	16.0	3276	-7.7	6.4	15.8	19.6	11.4	1.0	0.70	158
04082400.BIS	2.00	13.4	2596	-11.1	7.6	21.3	22.3	16.4	1.5	2.20	208
04091200.GRB	2.00	12.3	2256	-14.9	7.2	14.7	24.8	11.6	1.0	1.00	64
05022100.SGF	2.00	9.1	1128	-18.9	6.8	27.7	36.6	17.1	0.9	1.90	97
05050700.LBF	2.00	9.7	3058	-14.3	8.2	12.5	21.7	6.1	1.0	1.40	135
05050900.LMN	2.00	12.0	2971	-16.1	7.8	15.1	29.6	15.9	1.6	2.20	290
06040700.TOP	2.00	11.0	2249	-15.1	7.4	35.7	27.3	15.8	2.3	2.10	206
