%TITLE%
 CRP   20070905/0000 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
  189.16,  12802.00,    -58.53,    -65.82,    295.00,     14.01
  185.00,  12942.61,    -59.90,    -66.90,  -9999.00,  -9999.00
  180.11,  13106.00,    -61.27,    -68.27,    280.00,     17.00
  155.00,  14021.00,    -68.96,    -75.96,      0.00,      0.00
  151.00,  14180.53,    -70.30,    -77.30,  -9999.00,  -9999.00
  150.00,  14220.00,    -70.50,    -77.50,    150.00,      0.99
  144.00,  14461.09,    -72.30,    -79.30,    245.00,      2.99
  141.00,  14585.06,    -71.70,    -78.70,  -9999.00,  -9999.00
  137.00,  14754.35,    -72.70,    -79.70,  -9999.00,  -9999.00
  136.00,  14797.45,    -71.70,    -78.70,  -9999.00,  -9999.00
  130.00,  15062.87,    -72.70,    -79.70,  -9999.00,  -9999.00
  128.00,  15154.21,    -71.10,    -78.10,  -9999.00,  -9999.00
  126.15,  15240.00,    -71.76,    -78.76,    350.00,     10.00
  123.00,  15388.84,    -72.90,    -79.90,  -9999.00,  -9999.00
  110.00,  16041.36,    -74.30,    -80.30,  -9999.00,  -9999.00
  107.00,  16202.48,    -73.90,    -80.90,  -9999.00,  -9999.00
  104.00,  16368.93,    -72.50,    -79.50,  -9999.00,  -9999.00
  103.00,  16425.63,    -72.90,    -79.90,  -9999.00,  -9999.00
  102.00,  16482.99,    -71.70,    -78.70,  -9999.00,  -9999.00
  100.00,  16600.00,    -70.90,    -77.90,     50.00,      8.00
   98.30,  16701.87,    -70.10,    -77.10,  -9999.00,  -9999.00
   92.50,  17061.77,    -72.50,    -79.50,  -9999.00,  -9999.00
   86.30,  17469.50,    -72.90,    -79.90,  -9999.00,  -9999.00
   85.20,  17545.15,    -71.10,    -78.10,  -9999.00,  -9999.00
   78.20,  18056.53,    -68.30,    -75.30,  -9999.00,  -9999.00
   75.24,  18288.00,    -68.74,    -75.74,     75.00,     14.01
   71.60,  18584.80,    -69.30,    -76.30,  -9999.00,  -9999.00
   70.00,  18720.00,    -68.90,    -75.90,     80.00,      8.99
   56.20,  20052.09,    -63.50,    -72.50,  -9999.00,  -9999.00
   52.20,  20504.99,    -64.30,    -73.30,  -9999.00,  -9999.00
   50.00,  20770.00,    -62.10,    -72.10,     95.00,     22.01
   45.66,  21336.00,    -60.20,    -70.73,    110.00,     25.00
   43.47,  21641.00,    -59.17,    -69.99,    120.00,     21.00
   42.10,  21840.76,    -58.50,    -69.50,  -9999.00,  -9999.00
   41.40,  21946.00,    -58.64,    -69.78,     85.00,     19.00
   39.44,  22250.00,    -59.04,    -70.58,     75.00,     24.01
   37.56,  22555.00,    -59.44,    -71.38,     90.00,     19.00
   37.30,  22599.08,    -59.50,    -71.50,  -9999.00,  -9999.00
   35.78,  22860.00,    -58.01,    -70.58,     75.00,     16.01
   34.70,  23053.39,    -56.90,    -69.90,  -9999.00,  -9999.00
   34.09,  23165.00,    -57.39,    -70.39,     85.00,     19.00
   32.48,  23470.00,    -58.75,    -71.75,     70.00,     15.00
   32.30,  23504.68,    -58.90,    -71.90,  -9999.00,  -9999.00
   31.10,  23742.84,    -57.30,    -71.30,  -9999.00,  -9999.00
   30.95,  23774.00,    -57.35,    -71.35,     65.00,     19.00
   30.00,  23970.00,    -57.70,    -71.70,     85.00,     29.00
   29.50,  24075.97,    -57.90,    -71.90,  -9999.00,  -9999.00
   29.49,  24079.00,    -57.88,    -71.89,     90.00,     25.00
   28.11,  24384.00,    -55.40,    -71.18,     75.00,     25.99
   27.20,  24592.52,    -53.70,    -70.70,  -9999.00,  -9999.00
   26.80,  24689.00,    -53.34,    -70.68,     60.00,     31.00
   25.56,  24994.00,    -52.21,    -70.61,     85.00,     38.00
   23.80,  25456.74,    -50.50,    -70.50,  -9999.00,  -9999.00
   23.10,  25650.91,    -51.50,    -71.50,  -9999.00,  -9999.00
   22.21,  25908.00,    -51.07,    -72.15,     85.00,     37.01
   21.19,  26213.00,    -50.56,    -72.92,    105.00,     38.00
   20.70,  26364.74,    -50.30,    -73.30,  -9999.00,  -9999.00
   20.00,  26590.00,    -48.70,    -73.70,     95.00,     47.01
   19.31,  26822.00,    -48.11,    -74.10,     95.00,     50.00
   19.30,  26824.71,    -48.10,    -74.10,  -9999.00,  -9999.00
   18.20,  27214.94,    -44.50,    -72.50,  -9999.00,  -9999.00
   17.62,  27432.00,    -45.38,    -74.26,     95.00,     24.01
   16.90,  27709.47,    -46.50,    -76.50,  -9999.00,  -9999.00
   16.40,  27909.71,    -44.90,    -74.90,  -9999.00,  -9999.00
   14.30,  28823.26,    -46.50,    -77.50,  -9999.00,  -9999.00
   13.90,  29012.66,    -44.30,    -75.30,  -9999.00,  -9999.00
   11.17,  30480.00,    -43.52,    -72.58,    105.00,     42.00
   11.10,  30524.34,    -43.50,    -72.50,  -9999.00,  -9999.00
   10.90,  30647.28,    -41.50,    -69.50,  -9999.00,  -9999.00
   10.00,  31230.00,    -43.50,    -71.50,    100.00,     35.00
    9.60,  31504.09,    -44.10,    -72.10,  -9999.00,  -9999.00
    9.40,  31645.83,    -42.30,    -69.30,  -9999.00,  -9999.00
    8.91,  32004.00,    -42.30,    -69.30,     95.00,     42.00
    8.80,  32091.63,    -42.30,    -69.30,  -9999.00,  -9999.00
%END%

----- Parcel Information-----
*** MU PARCEL IN LOWEST 300mb ***
LPL:  P=1010  T=87F  Td=74F
CAPE:              3061 J/kg
CINH:                -0 J/kg
LI:                  -6 C
LI(300mb):           -6 C
3km Cape:           136 J/kg
NCAPE:             0.22 m/s2

LCL:       912mb        904m
LFC:       897mb       1048m
EL:        130mb      15050m
MPL:        71mb      18656m
All heights AGL

----- Moisture -----
Precip Water:    2.19 in
Mean W:          16.9 g/Kg

----- Lapse Rates -----
700-500mb   15 C      5.7 C/km
850-500mb   26 C      5.9 C/km
---------------------------------------------------------------

* EXPERIMENTAL BLEP TECHNIQUE CALCULATIONS - USE WITH CAUTION *

Using 50mb Mixed Layer Parcel (P=1010.0mb, T=85.6 F, Td=73.3 F)
Sfc Wind Speed            = 14.0 kt
Wind Speed LCL            = 18.0 kt
Wind Speed 700mb          = 21.0 kt
Wind Dir Diff (LCL-700)   = 15.9 deg
Cos(winddiff)             = 0.275
Sfc-LCL Thetae Diff       = 6.2 K
Sqrt of CAPE              = 50.3 kt (2533 J/kg)
LR LCL-500mb              = 6.1 C/km
Avg LCL-700mb Tdd         = 4.5 K
LCL Hgt (AGL)             = 2888.8 ft
K                         = 0.7
Term 3 - Value 2          = 30.2

Term 4 - SS               = 0.0
sfc-LCL vector shear      = 4.9 kt

BLEP Term 1               = 21.0
BLEP Term 2               = 1.8
BLEP Term 3               = 21.1
BLEP Term 4               = 0.0

BLEP-S                    = 44.0 kt
BLEP-R                    = 22.8 kt
---------------------------------------------------------------
