#
# Last modified on: 07/26/99;  4/2002; 10/7/03; 10/14/03
#
# This table contains all the GRIB ids for the gridded data models. It
# corresponds to Table A of GRIB edition 1.
#
# The columns represent each of the following parameters.
#
# - Value is the number found in the GRIB Product Description Section
#   Octet 6. 
#
# - Name is a unique acronym for the model.
#
# - Long name is the full name of the model.
# 
#
#      TABLE OF GENERATING PROCESSES OR MODELS FROM THE ECMWF (CENTER 98 )
#                          ORIGINATING CENTER
#                        
#                            (PDS Octet 6)
#
# NOTE 3/25/99  revised 10/10/03
# **** This table has several entries that are identical because ECMWF
# **** keeps changing the process ID without warning. If the new process
# **** ID does not exist in this table then no ECMF grids get stored.
# **** Therefore we have put all possible IDs in this table. If the
# **** situation is ever resolved, we can return to just the one
# **** appropriate ID here.
#
#  
#Val|Name    |Long name

#---|--------|---------------------------------------------------------------
157 |ECMFMOD |ECMF model
158 |ECMFMOD |ECMF model
159 |ECMFMOD |ECMF model
160 |ECMFMOD |ECMF model
161 |ECMFMOD |ECMF model
162 |ECMFMOD |ECMF model
163 |ECMFMOD |ECMF model
164 |ECMFMOD |ECMF model
165 |ECMFMOD |ECMF model
166 |ECMFMOD |ECMF model
167 |ECMFMOD |ECMF model
168 |ECMFMOD |ECMF model
169 |ECMFMOD |ECMF model
170 |ECMFMOD |ECMF model
171 |ECMFMOD |ECMF model
172 |ECMFMOD |ECMF model
173 |ECMFMOD |ECMF model
174 |ECMFMOD |ECMF model
175 |ECMFMOD |ECMF model
176 |ECMFMOD |ECMF model
177 |ECMFMOD |ECMF model
178 |ECMFMOD |ECMF model
179 |ECMFMOD |ECMF model
180 |ECMFMOD |ECMF model
181 |ECMFMOD |ECMF model
182 |ECMFMOD |ECMF model
183 |ECMFMOD |ECMF model
184 |ECMFMOD |ECMF model
185 |ECMFMOD |ECMF model
186 |ECMFMOD |ECMF model
187 |ECMFMOD |ECMF model
188 |ECMFMOD |ECMF model
189 |ECMFMOD |ECMF model
190 |ECMFMOD |ECMF model
191 |ECMFMOD |ECMF model
192 |ECMFMOD |ECMF model
193 |ECMFMOD |ECMF model
194 |ECMFMOD |ECMF model
195 |ECMFMOD |ECMF model
196 |ECMFMOD |ECMF model
197 |ECMFMOD |ECMF model
198 |ECMFMOD |ECMF model
199 |ECMFMOD |ECMF model
200 |ECMFMOD |ECMF model
201 |ECMFMOD |ECMF model
202 |ECMFMOD |ECMF model
203 |ECMFMOD |ECMF model
204 |ECMFMOD |ECMF model
205 |ECMFMOD |ECMF model
206 |ECMFMOD |ECMF model
207 |ECMFMOD |ECMF model
208 |ECMFMOD |ECMF model
209 |ECMFMOD |ECMF model
210 |ECMFMOD |ECMF model
211 |ECMFMOD |ECMF model
212 |ECMFMOD |ECMF model
213 |ECMFMOD |ECMF model
214 |ECMFMOD |ECMF model
215 |ECMFMOD |ECMF model
216 |ECMFMOD |ECMF model
217 |ECMFMOD |ECMF model
218 |ECMFMOD |ECMF model
219 |ECMFMOD |ECMF model
220 |ECMFMOD |ECMF model
221 |ECMFMOD |ECMF model
222 |ECMFMOD |ECMF model
223 |ECMFMOD |ECMF model
224 |ECMFMOD |ECMF model
225 |ECMFMOD |ECMF model
226 |ECMFMOD |ECMF model
227 |ECMFMOD |ECMF model
228 |ECMFMOD |ECMF model
229 |ECMFMOD |ECMF model
230 |ECMFMOD |ECMF model
231 |ECMFMOD |ECMF model
232 |ECMFMOD |ECMF model
233 |ECMFMOD |ECMF model
234 |ECMFMOD |ECMF model
235 |ECMFMOD |ECMF model
236 |ECMFMOD |ECMF model
237 |ECMFMOD |ECMF model
238 |ECMFMOD |ECMF model
239 |ECMFMOD |ECMF model
240 |ECMFMOD |ECMF model
241 |ECMFMOD |ECMF model
242 |ECMFMOD |ECMF model
243 |ECMFMOD |ECMF model
244 |ECMFMOD |ECMF model
245 |ECMFMOD |ECMF model
246 |ECMFMOD |ECMF model
247 |ECMFMOD |ECMF model
248 |ECMFMOD |ECMF model
249 |ECMFMOD |ECMF model
250 |ECMFMOD |ECMF model
251 |ECMFMOD |ECMF model
252 |ECMFMOD |ECMF model
253 |ECMFMOD |ECMF model
254 |ECMFMOD |ECMF model
255 |ECMFMOD |ECMF model
