GUA	\N	WFO	Guam/Marianas Islands	ft	361	MSL	LL	13.550000000000001	144.83332999999999	Guam	GU	0
HFO	\N	WFO	Honolulu	ft	73	MSL	LL	21.302779999999998	-157.81944999999999	Honolulu	HI	0
ILX	12897	WFO	Central Illinois	ft	582	MSL	LL	40.151670000000003	-89.338329999999999	Lincoln	IL	3
LOT	13908	WFO	Chicago	ft	660	MSL	LL	41.604170000000003	-88.084719999999976	Romeoville	IL	3
SGF	18740	WFO	Springfield	ft	1267	MSL	LL	37.234999999999999	-93.401390000000006	Springfield	MO	3
LSX	14002	WFO	St. Louis	ft	608	MSL	LL	38.698890000000013	-90.682779999999994	St Charles	MO	3
IWX	13125	WFO	Northern Indiana	ft	960	MSL	LL	41.358890000000002	-85.700000000000003	North Webster	IN	3
EPZ	10553	WFO	El Paso TX	ft	4110	MSL	LL	31.873059999999999	-106.69804999999999	Santa Teresa	NM	5
LUB	14015	WFO	Lubbock	ft	0	MSL	LL	33.52834	-101.87584	Lubbock	TX	4
MAF	14160	WFO	Midland/Odessa	ft	2871	MSL	LL	31.942499999999999	-102.18889	Midland	TX	4
SJT	18870	WFO	San Angelo	ft	1916	MSL	LL	31.371110000000002	-100.49276999999999	San Angelo	TX	4
MHX	14625	WFO	Morehead City	ft	31	MSL	LL	34.776670000000003	-76.876949999999979	Newport	NC	2
RAH	17815	WFO	Raleigh/Durham	ft	0	MSL	LL	35.77111	-78.681110000000004	Raleigh	NC	2
ILM	12890	WFO	Wilmington	ft	32	MSL	LL	34.276389999999999	-77.912779999999998	Wilmington	NC	2
FGZ	10997	WFO	Flagstaff	ft	7140	MSL	LL	35.229999999999997	-111.82138999999999	Bellemont	AZ	5
PSR	17575	WFO	Phoenix	ft	0	MSL	LL	33.436390000000003	-112.02388999999999	Phoenix	AZ	5
TWC	20005	WFO	Tucson	ft	0	MSL	LL	32.228059999999999	-110.95528	Tucson	AZ	5
BOU	8235	WFO	Denver	ft	0	MSL	LL	39.774450000000002	-104.87973	Denver	CO	5
LBF	13520	WFO	North Platte	ft	2778	MSL	LL	41.132779999999997	-100.7	North Platte	NE	3
ABQ	6750	WFO	Albuquerque	ft	5352	MSL	LL	35.036940000000001	-106.62166999999999	Albuquerque	NM	5
SJU	\N	WFO	San Juan	ft	10	MSL	LL	18.434719999999999	-66.004170000000002	San Juan	PR	2
LCH	13540	WFO	Lake Charles	ft	15	MSL	LL	30.12528	-93.216390000000004	Lake Charles	LA	4
SHV	18840	WFO	Shreveport	ft	258	MSL	LL	32.451390000000004	-93.841390000000004	Shreveport	LA	4
LWX	14124	WFO	Baltimore MD/Washington DC	ft	272	MSL	LL	38.975559999999987	-77.47723000000002	Sterling	VA	1
RNK	18135	WFO	Roanoke	ft	2102	MSL	LL	37.204169999999998	-80.414169999999999	Blacksburg	VA	1
AKQ	7012	WFO	Wakefield	ft	113	MSL	LL	36.983609999999999	-77.007219999999975	Wakefield	VA	1
EKA	10370	WFO	Eureka	ft	19	MSL	LL	40.810000000000002	-124.15971999999999	Eureka	CA	6
VEF	20377	WFO	Las Vegas	ft	2286	MSL	LL	36.046660000000003	-115.18444	Las Vegas	NV	5
REV	17965	WFO	Reno	ft	4973	MSL	LL	39.568339999999999	-119.79666	Reno	NV	5
DMX	9855	WFO	Des Moines	ft	984	MSL	LL	41.736109999999996	-93.723339999999993	Johnston	IA	3
DVN	10080	WFO	Quad Cities	ft	753	MSL	LL	41.611669999999997	-90.589160000000007	Davenport	IA	3
FSD	11270	WFO	Sioux Falls	ft	1429	MSL	LL	43.587499999999999	-96.72945	Sioux Falls	SD	3
MRX	15148	WFO	Knoxville/Tri-Cities	ft	1337	MSL	LL	36.168610000000001	-83.401669999999996	Morristown	TN	4
LZK	14155	WFO	Little Rock	ft	568	MSL	LL	34.834719999999997	-92.259439999999998	North Little Rock	AR	4
MEG	14369	WFO	Memphis	ft	0	MSL	LL	35.130839999999999	-89.800560000000004	Memphis/Germantown	TN	4
OHX	16264	WFO	Nashville	ft	570	MSL	LL	36.247219999999999	-86.5625	Old Hickory	TN	4
CHS	8920	WFO	Charleston	ft	46	MSL	LL	32.895000000000003	-80.027500000000003	Charleston	SC	2
CAE	8600	WFO	Columbia	ft	236	MSL	LL	33.945549999999997	-81.122500000000002	Columbia	SC	2
GSP	11910	WFO	Greenville/Spartanburg	ft	972	MSL	LL	34.899999999999999	-82.216669999999979	Greer	SC	2
GYX	12049	WFO	Portland	ft	384	MSL	LL	43.892499999999998	-70.254999999999995	Gray	ME	1
LOX	13928	WFO	Los Angeles	ft	60	MSL	LL	34.20722	-119.13777	Oxnard	CA	6
SGX	18785	WFO	San Diego	ft	1022	MSL	LL	32.918059999999997	-117.06361	San Diego	CA	6
HNX	12395	WFO	San Joaquin Valley	ft	240	MSL	LL	36.313890000000001	-119.63223000000001	Hanford	CA	6
GRB	11790	WFO	Green Bay	ft	695	MSL	LL	44.498609999999999	-88.111669999999975	Ashwaubenon	WI	3
