LPLA, 38.7302, -27.3207, 0, 9999, 0, 9999, -3413032.4278606847, -2663032.4278606847, 4303026.245684377, 5053026.245684377
PGUA, 13.4558, 144.8111, 0, 9999, 0, 9999, 1.5727838423399711E7, 1.6477838423399711E7, 1135217.328035667, 1885217.328035667
PACG, 56.8528, -135.5292, 0, 9999, 0, 9999, -1.5445701135842655E7, -1.4695701135842655E7, 7346719.325721541, 8096719.325721541
KBYX, 24.5969, -81.7033, 0, 9999, 0, 9999, -9460319.002193572, -8710319.002193572, 2448252.3947046306, 3198252.3947046306
PHWA, 19.095, -155.5689, 0, 9999, 0, 9999, -1.767409420207448E7, -1.692409420207448E7, 1788777.7504762914, 2538777.7504762914
KYUX, 32.4953, -114.6567, 0, 9999, 0, 9999, -1.3124701606162881E7, -1.2374701606162881E7, 3449356.9428340504, 4199356.94283405
KCBW, 46.0392, -67.8064, 0, 9999, 0, 9999, -7914998.682921476, -7164998.682921476, 5405365.917373371, 6155365.917373371
RODN, 26.3019, 127.9097, 0, 9999, 0, 9999, 1.3848420938626457E7, 1.4598420938626457E7, 2658232.074642768, 3408232.074642768
KMVX, 47.5281, -97.325, 0, 9999, 0, 9999, -1.119743522462972E7, -1.044743522462972E7, 5647173.962381073, 6397173.962381073
PAEC, 64.5114, -165.295, 0, 9999, 0, 9999, -1.875562605142738E7, -1.800562605142738E7, 9095564.816682229, 9845564.816682229
TJUA, 18.1157, -66.0782, 0, 9999, 0, 9999, -7722824.703417699, -6972824.703417699, 1673873.9899840693, 2423873.989984069
KCRP, 27.7839, -97.5108, 0, 9999, 0, 9999, -1.121809598460646E7, -1.046809598460646E7, 2843266.33926998, 3593266.33926998
KRTX, 45.715, -122.965, 0, 9999, 0, 9999, -1.4048575621850435E7, -1.3298575621850435E7, 5353583.593814979, 6103583.593814979
KJKL, 37.5908, -83.3131, 0, 9999, 0, 9999, -9639327.029161042, -8889327.029161042, 4141882.3404493453, 4891882.340449345
RKSG, 37.2076, 127.2856, 0, 9999, 0, 9999, 1.377902169050222E7, 1.452902169050222E7, 4088243.9207301, 4838243.9207301
KRIW, 43.0661, -108.4773, 0, 9999, 0, 9999, -1.2437558978604939E7, -1.1687558978604939E7, 4941274.192884151, 5691274.192884151
KFDX, 34.6342, -103.6189, 0, 9999, 0, 9999, -1.1897310128922522E7, -1.1147310128922522E7, 3734824.758962124, 4484824.758962125
KSGF, 37.2353, -93.4003, 0, 9999, 0, 9999, -1.0761012809771212E7, -1.0011012809771212E7, 4092112.0566608356, 4842112.056660836
KMOB, 30.6794, -88.2397, 0, 9999, 0, 9999, -1.0187159645422647E7, -9437159.645422647, 3212293.230699817, 3962293.230699817
PAPD, 65.0351, -147.5014, 0, 9999, 0, 9999, -1.6776996887153331E7, -1.6026996887153331E7, 9232206.47581537, 9982206.47581537
KMUX, 37.1552, -121.8984, 0, 9999, 0, 9999, -1.3929970850100216E7, -1.3179970850100216E7, 4080930.4617185434, 4830930.461718543
KAPX, 44.9063, -84.7195, 0, 9999, 0, 9999, -9795717.195099074, -9045717.195099074, 5225709.815827572, 5975709.815827572
PAKC, 58.6794, -156.6294, 0, 9999, 0, 9999, -1.7792020660391662E7, -1.7042020660391662E7, 7727627.960040779, 8477627.960040778
KBGM, 42.1997, -75.9847, 0, 9999, 0, 9999, -8824416.838560719, -8074416.838560719, 4810318.456892155, 5560318.456892155
KLNX, 41.9579, -100.5762, 0, 9999, 0, 9999, -1.1558965164545633E7, -1.0808965164545633E7, 4774092.253693025, 5524092.253693025
KMHX, 34.7758, -76.8764, 0, 9999, 0, 9999, -8923572.918599786, -8173572.918599786, 3753978.0048653004, 4503978.0048653
KJAX, 30.4846, -81.7019, 0, 9999, 0, 9999, -9460163.323700743, -8710163.323700743, 3187131.748430433, 3937131.748430433
PAIH, 59.4619, -146.3011, 0, 9999, 0, 9999, -1.6643524819338042E7, -1.5893524819338042E7, 7896929.250824032, 8646929.250824032
KICX, 37.591, -112.8622, 0, 9999, 0, 9999, -1.2925155138034467E7, -1.2175155138034467E7, 4141910.407287402, 4891910.407287402
KGGW, 48.2064, -106.6247, 0, 9999, 0, 9999, -1.223155185302416E7, -1.148155185302416E7, 5759609.9423635155, 6509609.9423635155
KCBX, 43.4902, -116.236, 0, 9999, 0, 9999, -1.330031806596517E7, -1.255031806596517E7, 5006051.038701487, 5756051.038701487
KDVN, 41.6117, -90.5808, 0, 9999, 0, 9999, -1.0447487445108036E7, -9697487.445108036, 4722463.372925369, 5472463.372925369
KSHV, 32.4508, -93.8412, 0, 9999, 0, 9999, -1.0810040415119676E7, -1.0060040415119676E7, 3443491.4926574784, 4193491.4926574784
PHKI, 21.8939, -159.5525, 0, 9999, 0, 9999, -1.8117066233524106E7, -1.7367066233524106E7, 2121085.040638058, 2871085.040638058
KDDC, 37.7608, -99.9689, 0, 9999, 0, 9999, -1.149143405833533E7, -1.074143405833533E7, 4165766.4440585505, 4915766.4440585505
KDYX, 32.5383, -99.2542, 0, 9999, 0, 9999, -1.1411960187746653E7, -1.0661960187746653E7, 3455027.438422149, 4205027.438422149
KOTX, 47.6806, -117.6258, 0, 9999, 0, 9999, -1.3454862329773959E7, -1.2704862329773959E7, 5672324.789785805, 6422324.789785805
KGJX, 39.0622, -108.2138, 0, 9999, 0, 9999, -1.2408258062276246E7, -1.1658258062276246E7, 4350461.531216118, 5100461.531216118
KBHX, 40.4983, -124.2922, 0, 9999, 0, 9999, -1.4196158833051344E7, -1.3446158833051344E7, 4558271.412130146, 5308271.412130146
