#This file contains a user editable mapping of names that would be seen as part of data ingest to			
#more standardized CF (NetCDF Climate and Forecast) names.  The first list is taken directly from			
#the NetCDF Climate and Forecast (CF) Metadata Convention website and the entries that follow			
#are as needed additions based on what is being seen in data.  The third column is a listing 			
#of ontology names that map to the cf names.  This allows for updates and additions to both			
#the ontology and the CF list while maintaining the codes ability to generate ontology individuals.			
#note that the third column is case sensitive.			
			
#all values from http://cf-pcmdi.llnl.gov/documents/cf-standard-names/ncep-grib-code-cf-standard-name-mapping			
#NCEP 	#CF Name	#Ontology Axiom IRI	#Ontology Class IRI
NCPCP	large_scale_precipitation_amount	http://wxsrv/ontology/weather.owl#hasPrecipitationAmount	http://wxsrv/ontology/weather.owl#PrecipitationAmount
ACPCP	convective_precipitation_amount	http://wxsrv/ontology/weather.owl#hasPrecipitationAmount	http://wxsrv/ontology/weather.owl#PrecipitationAmount
SRWEQ	snowfall_flux		
WEASD	surface_snow_amount	http://wxsrv/ontology/weather.owl#hasPrecipitationAmount	http://wxsrv/ontology/weather.owl#PrecipitationAmount
SNO D	surface_snow_thickness	http://wxsrv/ontology/weather.owl#hasPrecipitationAmount	http://wxsrv/ontology/weather.owl#PrecipitationAmount
MIXHT	ocean_mixed_layer_thickness		
TTHDP	transient_thermocline_depth		
MTHD	main_thermocline_depth		
MTHA	main_thermocline_anomoly		
T CDC	cloud_area_fraction	http://wxsrv/ontology/weather.owl#hasCloudAreaFraction	http://wxsrv/ontology/weather.owl#CloudAreaFraction
CDCON	convective_cloud_area_fraction	http://wxsrv/ontology/weather.owl#hasCloudAreaFraction	http://wxsrv/ontology/weather.owl#CloudAreaFraction
L CDC	low_cloud_area_fraction	http://wxsrv/ontology/weather.owl#hasCloudAreaFraction	http://wxsrv/ontology/weather.owl#CloudAreaFraction
M CDC	medium_cloud_area_fraction	http://wxsrv/ontology/weather.owl#hasCloudAreaFraction	http://wxsrv/ontology/weather.owl#CloudAreaFraction
H CDC	high_cloud_area_fraction	http://wxsrv/ontology/weather.owl#hasCloudAreaFraction	http://wxsrv/ontology/weather.owl#CloudAreaFraction
C WAT	atmosphere_cloud_condensed_water_content		
BLI	best_lifted_index		
SNO C	convective_snowfall_amount	http://wxsrv/ontology/weather.owl#hasPrecipitationAmount	http://wxsrv/ontology/weather.owl#PrecipitationAmount
SNO L	large_scale_snowfall_amount	http://wxsrv/ontology/weather.owl#hasPrecipitationAmount	http://wxsrv/ontology/weather.owl#PrecipitationAmount
WTMP	sea_water_temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
LAND	land_area_fraction	http://wxsrv/ontology/weather.owl#hasLandAreaFraction	http://wxsrv/ontology/weather.owl#LandAreaFraction
DSL M	sea_surface_height_above_sea_level		
SFC R	surface_roughness_length		
ALBDO	surface_albedo		
TSOIL	soil_temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
SOIL	soil_moisture_content		
VEG	vegetation_area_fraction		
SALTY	sea_water_salinity		
DEN	density		
WATR	surface_runoff_amount		
ICE C	sea_ice_area_fraction		
ICETK	sea_ice_thickness		
DICED	direction_of_sea_ice_velocity	http://wxsrv/ontology/weather.owl#hasSeaWaterDirection	http://wxsrv/ontology/weather.owl#SeaWaterDirection
SICED	sea_ice_speed	http://wxsrv/ontology/weather.owl#hasSeaWaterSpeed	http://wxsrv/ontology/weather.owl#SeaWaterSpeed
U ICE	sea_ice_eastward_velocity	http://wxsrv/ontology/weather.owl#hasSeaWaterSpeed	http://wxsrv/ontology/weather.owl#SeaWaterSpeed
V ICE	sea_ice_northward_velocity	http://wxsrv/ontology/weather.owl#hasSeaWaterSpeed	http://wxsrv/ontology/weather.owl#SeaWaterSpeed
ICE G	tendency_of_sea_ice_thickness_due_to_thermodynamics		
ICE D	divergence_of_sea_ice_velocity	http://wxsrv/ontology/weather.owl#hasSeaWaterSpeed	http://wxsrv/ontology/weather.owl#SeaWaterSpeed
SNO M	surface_snow_melt_amount		
HTSGW	significant_height_of_wind_and_swell_waves		
WVDIR	direction_of_wind_wave_velocity		
WVHGT	significant_height_of_wind_waves		
WVPER	wind_wave_period		
SWDIR	direction_of_swell_wave_velocity		
SWELL	significant_height_of_swell_waves		
SWPER	swell_wave_period		
DIRPW	primary_wave_direction		
PERPW	primary_wave_mean_period		
DIRSW	secondary_wave_direction		
PERSW	secondary_wave_mean_period		
NSWRS	surface_net_upward_shortwave_flux		
NLWRS	surface_net_upward_longwave_flux		
NSWRT	toa_net_upward_shortwave_flux		
NLWRT	toa_net_upward_longwave_flux		
LWAVR	net_upward_longwave_flux_in_air		
SWAVR	net_upward_shortwave_flux_in_air		
G RAD	surface_downwelling_shortwave_flux		
BRTMP	brightness_temperature		
LWRAD	wave_number_radiance		
SWRAD	wave_length_radiance		
LHTFL	surface_upward_latent_heat_flux		
SHTFL	surface_upward_sensible_heat_flux		
BLYDP	boundary_layer_dissipation		
U FLX	downward_eastward_momentum_flux_in_air		
V FLX	downward_northward_momentum_flux_in_air		
WMIXE	wind_mixing_energy_flux_into_ocean		
IMG	image_data		
MSLSA	standard_atmospheric_reduction_mean_sea_level_pressure		
MSLMA	maps_system_reduction_mean_sea_level_pressure		
MSLET	nam_model_reduction_mean_sea_level_pressure		
LFTX	surface_lifted_index		
4LFTX	best_four_layer_lifted_index		
KX	k_index		
SX	sweat_index		
MCONV	horizontal_moisture_divergence		
VW SH	wind_speed_shear		
TSLSA	standard_atmospheric_reduction_three_hour pressure_tendency		
BVF2	brunt_vaisala_frequency		
PVMW	density_weighted_potontial_vorticity		
CRAIN	categorical_rain		
CFRZR	categorical_freezing_rain		
CICEP	categorical_ice_pellets		
CSNOW	categorical_snow		
SOILW	volumetric_soil_moisture_content		
PEVPR	potential_evaporation_rate		
CWORK	cloud_work_function		
UGWD	gravity_wave_stress_zonal_flux		
VGWD	gravity_wave_stress_meridonial_flux		
PV	potential_vorticity		
COVMZ	meridonail_zonal_wind_covariance		
COVTZ	temperature_zonal_wind_covariance		
COVTM	temperature_meridonail_wind_covariance		
CLWMR	cloud_mixing_ratio		
O3MR	ozone_mixing_ratio		
GFLUX	ground_heat_flux		
CIN	convective_inhibition		
CAPE	atmosphere_specific_convective_available_potential_energy		
TKE	turbulent_kinetic_energy		
CONDP	surface_parcel_condensation_pressure		
CSUSF	clear_sky_upward_solar_flux		
CSDSF	clear_sky_downward_solar_flux		
CSULF	clear_sky_upward_long_wave_flux		
CSDLF	clear_sky_downward_long_wave_flux		
CFNSF	cloud_forcing_net_solar_flux		
CFNLF	cloud_forcing_net_long_wave_flux		
VBDSF	visible_beam_downward_solar_flux		
VDDSF	visible_diffuse_downward_solar_flux		
NBDSF	near_ir_beam_downward_solar_flux		
NDDSF	near_ir_diffuse_downward_solar_flux		
MFLX	momentum_flux		
LMH	mass_point_model_surface		
LMV	velocity_point_model_surface		
MLYNO	model_layer_number		
NLAT	latitude		
ELON	east_longitude		
LPSX	log_pressure_x_gradient		
LPSY	log_pressure_y_gradient		
HGTX	height_x_gradient		
HGTY	height_y_gradient		
VPTMP	virtual_potential_temperature		
HLCY	storm_relative_helicity		
PROB	probability_from_ensemble		
PROBN	climate_normalized_probability_from_ensemble		
POP	probability_of_precipitation		
CPOFP	percent_of_frozen_precipitation		
CPOZP	probability_of_freezing_precipitation		
USTM	u_component_of_storm_motion		
VSTM	v_component_of_storm_motion		
ICWAT	ice_free_water_surface		
DSWRF	downward_short_wave_rad_flux		
DLWRF	downward_long_wave_rad_flux		
UVI	untra_violet_index		
MSTAV	moisture_availability		
SFEXC	exchange_coefficient		
MIXLY	surface_mixed_layers		
USWRF	upward_short_wave_rad_flux		
ULWRF	upward_long_wave_rad_flux		
CDLYR	amound_of_non_convective_cloud		
CPRAT	convective_precipitation_rate		
TTDIA	temperature_tendency_by_all_physics		
TTRAD	temperature_tendency_by_all_radiation		
TTPHY	temperature_tendency_by_nonradiation_physics		
PREIX	precipitation_index		
TSD1D	std_dev_irt_over_1x1_deg_area		
NLGSP	natural_log_of_surface_pressure		
HPBL	planetary_boundary_layer_height		
5WAVH	5_wave_geopotential_height		
CNWAT	plant_canopy_surface_water		
BMIXL	blackadars_mixing_length_scale		
AMIXL	asymptotic_mixing_length_scale		
PEVAP	potential_evaporation		
SNOHF	snow_phase_change_heat_flux		
MFLUX	convective_cloud_mass_flux		
DTRF	downward_total_radiation_flux		
UTRF	upward_total_radiation_flux		
BGRUN	baseflow_groundwater_runoff		
SSRUN	storm_surface_runoff		
03TOT	total_ozone		
SNOWC	snow_cover		
SNOWT	snow_temperature		
LRGHR	large_scale_condensate_heat_rate		
CNVHR	deep_convective_heating_rate		
CNVMR	deep_convective_moistening_rate		
SHAHR	shallow_convective_heating_rate		
SHAMR	shallow_convectine_moistening_rate		
VDFHR	vertical_diffusion_heating_rate		
VDFUA	vertical_diffusion_zonal_acceleration		
VDFVA	vertical_diffusion_meridonal_acceleration		
VDFMR	vertical_diffusion_moistening_rate		
SWHR	solar_radiative_heating_rate		
LWHR	long_wave_radiative_heating_rate		
CD	drag_coefficient		
FRICV	friction_velocity		
RI	richardson_number		
HLCY storm_relative_helicity			
			
#other mapping added based on what was seen in data			
GH	geopotential_height	http://wxsrv/ontology/weather.owl#hasBarometricPressure	http://wxsrv/ontology/weather.owl#BarometricPressure
T	temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
RH	relative_humidity	http://wxsrv/ontology/weather.owl#hasRelativeHumidity	http://wxsrv/ontology/weather.owl#RelativeHumidity
UW	horizontal_wind_vector	http://wxsrv/ontology/weather.owl#hasWindSpeed	http://wxsrv/ontology/weather.owl#WindSpeed
VW	vertical_wind_vector	http://wxsrv/ontology/weather.owl#hasWindSpeed	http://wxsrv/ontology/weather.owl#WindSpeed
ICIP	icing_probability	http://wxsrv/ontology/weather.owl#hasIcingProbability	http://wxsrv/ontology/weather.owl#IcingProbability
PVV	pressure_vertical_velocity		
			
#eta218 xml short name entries that do not already exist in the cf mapping			
HELI	helicity_sigma		
TCC	cloud_area_fraction	http://wxsrv/ontology/weather.owl#hasCloudAreaFraction	http://wxsrv/ontology/weather.owl#CloudAreaFraction
TP	precipitation_amount	http://wxsrv/ontology/weather.owl#hasPrecipitationAmount	http://wxsrv/ontology/weather.owl#PrecipitationAmount
STATICCORIOLIS	coriolis_parameter		
MNT	min_air_temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
MXT	max_air_temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
P	air_pressure	http://wxsrv/ontology/weather.owl#hasBarometricPressure	http://wxsrv/ontology/weather.owl#BarometricPressure
T	air_temperature	http://wxsrv/ontology/weather.owl#hasTemperature	http://wxsrv/ontology/weather.owl#Temperature
STATICSPACING	grid_spacing		
WD	wind_from_direction	http://wxsrv/ontology/weather.owl#hasWindDirection	http://wxsrv/ontology/weather.owl#WindDirection
WS	wind_speed	http://wxsrv/ontology/weather.owl#hasWindSpeed	http://wxsrv/ontology/weather.owl#WindSpeed
PLI	parcel_lifted_index		
PMSL	air_pressure_at_sea_level	http://wxsrv/ontology/weather.owl#hasBarometricPressure	http://wxsrv/ontology/weather.owl#BarometricPressure
EMSP	eta_mean_sea_level_pressure		
CP	convective_precipitation_amount	http://wxsrv/ontology/weather.owl#hasPrecipitationAmount	http://wxsrv/ontology/weather.owl#PrecipitationAmount
PW	precipitable_water		
STATICTOPO	tolography		
SLI	surface_lifted_index		
AV	atmosphere_absolute_vorticity	http://wxsrv/ontology/weather.owl#hasWindShear	http://wxsrv/ontology/weather.owl#WindShear
REFC	composite_radar_reflectivity		
REFD	derived_radar_reflectivity		
SND	surface_snow_thickness	http://wxsrv/ontology/weather.owl#hasPrecipitationAmount	http://wxsrv/ontology/weather.owl#PrecipitationAmount
THP	thunderstorm_probability		
