# This is the base afos2awips.txt file. This is an incremental override file,
# where the files at each level are applied on top of the previous level,
# in the following order:
#
#    1. BASE afos2awips.txt
#    2. CONFIGURED afos2awips.txt
#    3. CONFIGURED afos2awips.blacklist.txt
#    4. SITE afos2awips.txt
#    5. SITE afos2awips.blacklist.txt
#
# The files applied in this order together represent afos2awips.txt as actually
# used by the system. Of these, only the SITE files (#4 and #5 above) should be
# edited, as CONFIGURED is maintained by the system.
#
# When a SITE file is updated via CAVE localization perspective, EDEX will
# automatically add/remove entries from the legacy afos2awips.txt to reflect
# the change.


ABQRERGUP SXUS75 KABQ
ABQRERLVS SXUS75 KABQ
ABQRERROW SXUS75 KABQ
ABQRERRTN SXUS75 KABQ
ABQRERSAF SXUS75 KABQ
ABQRERTCC SXUS75 KABQ
ABQRFDABQ FNUS65 KABQ
ABQRFWABQ WWUS85 KABQ
ABQRHWABQ WOUS45 KABQ
ABQRHWNM WOUS45 KABQ
ABQRR1ABQ SRUS55 KABQ
ABQRR2ABQ SRUS55 KABQ
ABQRR3ABQ SRUS55 KABQ
ABQRR4ABQ SRUS55 KABQ
ABQRR5ABQ SRUS55 KABQ
ABQRR6ABQ SRUS65 KABQ
ABQRR6CAO SRUS65 KABQ
ABQRR6CQC SRUS64 KJAN
ABQRR6CQC SRUS65 KABQ
ABQRR6FMN SRUS64 KJAN
ABQRR6FMN SRUS65 KABQ
ABQRR6GNT SRUS64 KJAN
ABQRR6GNT SRUS65 KABQ
ABQRR6GUP SRUS65 KABQ
ABQRR6LVS SRUS65 KABQ
ABQRR6ROW SRUS65 KABQ
ABQRR6RTN SRUS64 KJAN
ABQRR6RTN SRUS65 KABQ
ABQRR6TCC SRUS65 KABQ
ABQRR6TCS SRUS65 KABQ
ABQRR7ABQ SRUS75 KABQ
ABQRR7CAO SRUS75 KABQ
ABQRR7CQC SRUS75 KABQ
ABQRR7FMN SRUS75 KABQ
ABQRR7GNT SRUS75 KABQ
ABQRR7GUP SRUS75 KABQ
ABQRR7LVS SRUS75 KABQ
ABQRR7ROW SRUS75 KABQ
ABQRR7RTN SRUS75 KABQ
ABQRR7TCC SRUS75 KABQ
ABQRR7TCS SRUS75 KABQ
ABQRR8ABQ SRUS85 KABQ
ABQRR9ABQ SRUS85 KABQ
ABQRTPABQ ASUS65 KABQ
ABQRTPNM ASUS65 KABQ
ABQRVAABQ SRUS45 KABQ
ABQRVMABQ SRUS45 KABQ
ABQRVSABQ FGUS85 KABQ
ABQRWRNM ASUS45 KABQ
ABQRWSNM AWUS85 KABQ
ABQSADABQ AWUS55 KABQ
ABQSADCAO AWUS55 KABQ
ABQSADROW AWUS55 KABQ
ABQSAMABQ AWUS65 KABQ
ABQSAMCAO AWUS65 KABQ
ABQSAMROW AWUS65 KABQ
ABQSCDABQ CXUS65 KABQ
ABQSDOABQ SXUS55 KABQ
ABQSFTABQ FPUS65 KABQ
ABQSGLABQ UMUS45 KABQ
ABQSLSNM WWUS65 KABQ
ABQSMFABQ FNUS75 KABQ
ABQSPSABQ WWUS85 KABQ
ABQSPWABQ WOUS45 KABQ
ABQSPWNM WOUS45 KABQ
ABQSTQABQ BMUS95 KABQ
ABQSVRABQ WUUS55 KABQ
ABQSVSABQ WWUS55 KABQ
ABQTAFABQ FTUS45 KABQ
ABQTAFDMN FTUS44 KEPZ
ABQTAFFMN FTUS45 KABQ
ABQTAFGUP FTUS45 KABQ
ABQTAFLVS FTUS45 KABQ
ABQTAFROW FTUS45 KABQ
ABQTAFSAF FTUS45 KABQ
ABQTAFTCC FTUS45 KABQ
ABQTAFTCS FTUS44 KEPZ
ABQTOEABQ WOUS45 KABQ
ABQTOENM WOUS45 KABQ
ABQTORABQ WFUS55 KABQ
ABQTWB186 FRUS44 KAMA
ABQTWB192 FRUS44 KAMA
ABQTWB193 FRUS45 KABQ
ABQTWB195 FRUS44 KEPZ
ABQTWB196 FRUS44 KEPZ
ABQTWB197 FRUS45 KABQ
ABQTWB198 FRUS45 KABQ
ABQVERABQ FXUS85 KABQ
ABQVFTABQ NXUS98 KABQ
ABQVOWABQ WOUS45 KABQ
ABQVOWNM WOUS45 KABQ
ABQWCNABQ WWUS65 KABQ
ABQWDANM CXUS75 KABQ
ABQWSWABQ WWUS45 KABQ
ABQWVMABQ NWUS45 KABQ
ABQZFPABQ FPUS55 KABQ
ABRMONMSG NTXX98 KABR
ABRSTQABR BMUS93 KABR
ACRADMACR NOAK78 PACR
ACRESFAK FGAK78 PACR
ACRESGAK FGAK68 PACR
ACRHCMPAC NGAK88 PACR
ACRHMDACR AGAK78 PACR
ACRHMLACR SRAK58 PACR
ACRHYDACR SXAK58 PACR
ACRQPSACR FSAK48 PACR
ACRRVAAK SRAK48 PACR
ACRRVFAFC FGAK21 PACR
ACRRVFAFG FGAK22 PACR
ACRRVFAJK FGAK23 PACR
ACRRVFYKN FGAK24 PACR
ACRRVIAK FIAK48 PACR
ACRRVRAK FGAK48 PACR
ACRRVSANC FGAK88 PACR
ADMINISTR NOUS51 KWBC
AFCCWFADQ FZAK58 PADQ
AFCIOBSNP SVAK08 PASN
AFCWSVPN5 WVAK25 PAWU
AFGFZLBRW UXAK49 PABR
AFGFZLOME UXAK49 PAOM
AFGFZLOTZ UXAK49 PAOT
AFGMANBRW USAK49 PABR
AFGMANFAI USAK49 PAFG
AFGMANOME USAK49 PAOM
AFGMANOTZ USAK49 PAOT
AFGMSMFAI CSAK49 PAFG
AFGNPWBRW WWAK79 PABR
AFGNPWOME WWAK79 PAOM
AFGNPWOTZ WWAK79 PAOT
AFGPNSBRW NOAK49 PABR
AFGPNSOME NOAK49 PAOM
AFGPNSOTZ NOAK49 PAOT
AJKDSMJNU CXAK47 PAJK
AJKFLWAJK WGAK47 PAJK
AJKFZLANN UXAK47 PANT
AJKFZLYAK UXAK47 PAYA
AJKMSMJNU CSAK47 PAJK
AJKPNSANN NOAK47 PANT
AJKPNSYAK NOAK47 PAYA
AKQMONMSG NTXX98 KAKQ
AKQWRKCWF NZUS51 KAKQ
AKQWRKZFP NZUS51 KAKQ
ALBABVALY UFUS41 KALY
ALBADAALY NOUS71 KALY
ALBADABGM NOUS71 KBGM
ALBADABTV NOUS71 KBTV
ALBADMALY NOUS71 KALY
ALBADMBGM NOUS71 KBGM
ALBADMBTV NOUS71 KBTV
ALBADRALB NOUS41 KALY
ALBADRALY NOUS41 KALY
ALBADRALY WOUS41 KALY
ALBADRBGM NOUS41 KBGM
ALBADRBGM WOUS41 KBGM
ALBADRBTV NOUS41 KBTV
ALBADRBTV WOUS41 KBTV
ALBADRNY NOUS41 KALY
ALBADRNY WOUS41 KALY
ALBADRVT NOUS41 KALY
ALBADRVT WOUS41 KBTV
ALBAFDALY FXUS61 KALY
ALBAFDBGM FXUS61 KBGM
ALBAFDBTV FXUS61 KBTV
ALBAFMALY FOUS51 KALY
ALBAFMBGM FOUS51 KBGM
ALBAFMBTV FOUS51 KBTV
ALBAQAALY AEUS71 KALY
ALBAQABGM AEUS71 KBGM
ALBAQABTV AEUS71 KBTV
ALBAQIALY AEUS71 KALY
ALBAQIBGM AEUS71 KBGM
ALBAQIBTV AEUS71 KBTV
ALBASAALY AEUS41 KALY
ALBASABGM AEUS41 KBGM
ALBASABTV AEUS41 KBTV
ALBAVAALY WOUS41 KALY
ALBAVABGM WOUS41 KBGM
ALBAVABTV WOUS41 KBTV
ALBAVANY WOUS41 KALY
ALBAVAVT WOUS41 KBTV
ALBAVWALY WOUS41 KALY
ALBAVWBGM WOUS41 KBGM
ALBAVWBTV WOUS41 KBTV
ALBAVWNY WOUS41 KALY
ALBAVWVT WOUS41 KBTV
ALBAWWALB WWUS81 KALY
ALBCAEALY WOUS41 KALY
ALBCAEBGM WOUS41 KBGM
ALBCAEBTV WOUS41 KBTV
ALBCAENY WOUS41 KALY
ALBCAEVT WOUS41 KBTV
ALBCCFALY FPUS41 KALY
ALBCCFBGM FPUS41 KBGM
ALBCCFBTV FPUS41 KBTV
ALBCDWALY WOUS41 KALY
ALBCDWBGM WOUS41 KBGM
ALBCDWBTV WOUS41 KBTV
ALBCDWNY WOUS41 KALY
ALBCDWVT WOUS41 KBTV
ALBCEMALY WOUS41 KALY
ALBCEMBGM WOUS41 KBGM
ALBCEMBTV WOUS41 KBTV
ALBCEMNY WOUS41 KALY
ALBCEMVT WOUS41 KBTV
ALBCF61V4 CXUS51 KALY
ALBCF6ALB CXUS51 KALY
ALBCF6AVP CXUS51 KBGM
ALBCF6BGM CXUS51 KBGM
ALBCF6BTV CXUS51 KBTV
ALBCF6ELM CXUS51 KBGM
ALBCF6PEO CXUS51 KBGM
ALBCF6PLB CXUS51 KBTV
ALBCF6RME CXUS51 KBGM
ALBCF6RUT CXUS51 KBTV
ALBCF6SLK CXUS51 KBTV
ALBCF6SYR CXUS51 KBGM
ALBCF6UCA CXUS51 KBGM
ALBCF6VSF CXUS51 KBTV
ALBCLAALB CXUS51 KALY
ALBCLAAVP CXUS51 KBGM
ALBCLABGM CXUS51 KBGM
ALBCLABTV CXUS51 KBTV
ALBCLASYR CXUS51 KBGM
ALBCLI1V4 CDUS41 KBTV
ALBCLIALB CDUS41 KALY
ALBCLIAVP CDUS41 KBGM
ALBCLIBGM CDUS41 KBGM
ALBCLIBTV CDUS41 KBTV
ALBCLIELM CDUS41 KBGM
ALBCLIPEO CDUS41 KBGM
ALBCLIPLB CDUS41 KBTV
ALBCLIRME CDUS41 KBGM
ALBCLIRUT CDUS41 KBTV
ALBCLISLK CDUS41 KBTV
ALBCLISYR CDUS41 KBGM
ALBCLIUCA CDUS41 KBGM
ALBCLIVSF CDUS41 KBTV
ALBCLM1V4 CXUS51 KBTV
ALBCLMALB CXUS51 KALY
ALBCLMAVP CXUS51 KBGM
ALBCLMBGM CXUS51 KBGM
ALBCLMBTV CXUS51 KBTV
ALBCLMELM CXUS51 KBGM
ALBCLMPEO CXUS51 KBGM
ALBCLMPLB CXUS51 KBTV
ALBCLMRME CXUS51 KBGM
ALBCLMRUT CXUS51 KBTV
ALBCLMSLK CXUS51 KBTV
ALBCLMSYR CXUS51 KBGM
ALBCLMUCA CXUS51 KBGM
ALBCLMVSF CXUS51 KBTV
ALBCLQALB CXUS51 KALY
ALBCLSALB CXUS51 KALY
ALBCLSAVP CXUS51 KBGM
ALBCLSBGM CXUS51 KBGM
ALBCLSBTV CXUS51 KBTV
ALBCLSSYR CXUS51 KBGM
ALBCRSBTV NZUS91 KBTV
ALBDGTALY AXUS71 KALY
ALBDGTBGM AXUS71 KBGM
ALBDGTBTV AXUS71 KBTV
ALBDMOALY WOUS41 KALY
ALBDMOBGM WOUS41 KBGM
ALBDMOBTV WOUS41 KBTV
ALBDMONY WOUS41 KALY
ALBDMOVT WOUS41 KBTV
ALBDPABGM SDUS81 KBGM
ALBDPACXX SDUS81 KBTV
ALBDPAENX SDUS81 KALY
ALBDPATYX SDUS81 KBTV
ALBDSMALB CXUS41 KALY
ALBDSMAVP CXUS41 KBGM
ALBDSMBGM CXUS41 KBGM
ALBDSMBTV CXUS41 KBTV
ALBDSMPBG CXUS41 KBTV
ALBDSMRME CXUS41 KBGM
ALBDSMSYR CXUS41 KBGM
ALBDSTPBG CXUS71 KBTV
ALBDSTRME CXUS71 KBGM
ALBEQRALY SEUS61 KALY
ALBEQRBGM SEUS61 KBGM
ALBEQRBTV SEUS61 KBTV
ALBEQWALY WOUS41 KALY
ALBEQWBGM WOUS41 KBGM
ALBEQWBTV WOUS41 KBTV
ALBEQWNY WOUS41 KALY
ALBEQWVT WOUS41 KBTV
ALBESFALY FGUS71 KALY
ALBESFBGM FGUS71 KBGM
ALBESFBTV FGUS71 KBTV
ALBEVIALY WOUS41 KALY
ALBEVIBGM WOUS41 KBGM
ALBEVIBTV WOUS41 KBTV
ALBEVINY WOUS41 KALY
ALBEVIVT WOUS41 KBTV
ALBEWWALY WFUS51 KALY
ALBFFAALY WGUS61 KALY
ALBFFABGM WGUS61 KBGM
ALBFFABTV WGUS61 KBTV
ALBFFSALY WGUS71 KALY
ALBFFSBGM WGUS71 KBGM
ALBFFSBTV WGUS71 KBTV
ALBFFWALY WGUS51 KALY
ALBFFWBGM WGUS51 KBGM
ALBFFWBTV WGUS51 KBTV
ALBFLSALY WGUS81 KALY
ALBFLSBGM WGUS81 KBGM
ALBFLSBTV WGUS81 KBTV
ALBFLWALY WGUS41 KALY
ALBFLWBGM WGUS41 KBGM
ALBFLWBTV WGUS41 KBTV
ALBFRWALY WOUS41 KALY
ALBFRWBGM WOUS41 KBGM
