2997,0,1013
2871,23,780
2870,25,757
1932,165,103
2872,0,1013
2812,20,804
2162,120,203
2032,140,145
2722,0,1018
2617,30,694
2197,100,257
2082,126,171
2593,0,1013
2592,10,888
2512,35,636
2172,85,307
2538,0,1013
2537,15,828
2152,85,299
2137,115,185

2997,0,1013
2871,23,780
2870,25,757
1932,165,103
3012,0,1013
2937,10,905
2662,60,493
2032,150,133
2942,0,1013
2852,20,802
2612,60,487
2157,130,179
20872,0,1010
2602,50,541
2252,100,268
2251,101,269
2782,0,1012
2717,25,742
2262,95,284
2261,96,280
