#*******************************************************************************
# File : MnemonicDescriptorMapping.txt
# 
# Purpose : These entries map MOS models and associated BUFR descriptors to the
# index within the BUFRDataDocument list. Further, the data item is mapped to
# to a specific Mnemonic that is used to retrieve the data.
#  
#  Date         Ticket#    Engineer    Description
#  ------------ ---------- ----------- --------------------------
#  20080226            861 jkorman     Initial Development
#  20111026          11393 jkorman     Updated AVN mapping
#  20160209           5283 nabowle     Remove NGM support.
#  @author jkorman
#
#*******************************************************************************
#Model|Descrip | Index|Mnemonic         
#---------------------------------------
  ETA|0 60 059|    26|tstorm12hr       
  ETA|0 60 060|    27|tstorm24hr       
  ETA|0 60 061|    28|csevere6hr       
  ETA|0 60 062|    29|csevere12hr      
  ETA|0 60 063|    30|csevere24hr      
  ETA|0 60 150|    31|severe6hr        
  ETA|0 60 151|    32|severe12hr       
  ETA|0 60 152|    33|severe24hr       
  ETA|0 60 020|    34|precipFreezing   
  ETA|0 60 021|    35|precipSnow       
  ETA|0 60 022|    36|precipRain       
  ETA|0 60 091|    37|precipType       
  ETA|0 60 004|    38|QPF6hr_cat1      
  ETA|0 60 007|    39|QPF6hr_cat2      
  ETA|0 60 010|    40|QPF6hr_cat3      
  ETA|0 60 013|    41|QPF6hr_cat4      
  ETA|0 60 090|    43|QPF6hr_bestCat   
  ETA|0 60 005|    44|QPF12hr_cat1     
  ETA|0 60 008|    45|QPF12hr_cat2     
  ETA|0 60 011|    46|QPF12hr_cat3     
  ETA|0 60 014|    47|QPF12hr_cat4     
  ETA|0 60 016|    48|QPF12hr_cat7     
  ETA|0 60 090|    50|QPF12hr_bestCat  
  ETA|0 60 006|    51|QPF24hr_cat1     
  ETA|0 60 009|    52|QPF24hr_cat2     
  ETA|0 60 012|    53|QPF24hr_cat3     
  ETA|0 60 015|    54|QPF24hr_cat4     
  ETA|0 60 017|    55|QPF24hr_cat7     
  ETA|0 60 090|    57|QPF24hr_bestCat  
  ETA|0 60 144|    58|snow24hr_cat1    
  ETA|0 60 031|    59|snow24hr_cat2    
  ETA|0 60 033|    60|snow24hr_cat4    
  ETA|0 60 035|    61|snow24hr_cat6    
  ETA|0 60 145|    62|snow24hr_cat8    
  ETA|0 60 093|    64|snow24hr_bestCat 
  ETA|0 60 100|    65|clouds_CL        
  ETA|0 60 108|    66|clouds_FW        
  ETA|0 60 109|    67|clouds_SC        
  ETA|0 60 103|    68|clouds_BK        
  ETA|0 60 104|    69|clouds_OV        
  ETA|0 20 011|    70|clouds_bestCat   
  ETA|0 60 042|    71|ceiling_cat1     
  ETA|0 60 043|    72|ceiling_cat2     
  ETA|0 60 044|    73|ceiling_cat3     
  ETA|0 60 080|    74|ceiling_cat4     
  ETA|0 60 081|    75|ceiling_cat5     
  ETA|0 60 046|    76|ceiling_cat6     
  ETA|0 60 047|    77|ceiling_cat7     
  ETA|0 60 048|    78|ceiling_cat8     
  ETA|0 60 094|    79|ceiling_bestCat  
  ETA|0 60 049|    80|vis_cat1         
  ETA|0 60 112|    81|vis_cat2         
  ETA|0 60 118|    82|vis_cat3         
  ETA|0 60 113|    83|vis_cat4         
  ETA|0 60 114|    84|vis_cat5         
  ETA|0 60 115|    85|vis_cat6         
  ETA|0 60 190|    86|vis_bestCat      
  ETA|0 60 057|    87|obVis_cat4       
  ETA|0 60 055|    88|obVis_cat2       
  ETA|0 60 116|    89|obVis_cat5       
  ETA|0 60 117|    90|obVis_cat3       
  ETA|0 60 054|    91|obVis_cat1       
  ETA|0 60 096|    92|obVis_bestCat    
